# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[   7.97863116 -114.36486977   23.93467959];[1.3323529806600396, -0.9032754377159341, 0.0010024548110874054, -0.4581289686349649]
[   7.97662293 -114.38441024   15.95310033];[1.1348783984611044, -0.9176618717543672, 0.2392045219945686, -0.4689054124783405]
[   7.97478519 -114.40491968    7.97478521];[0.9243547319265789, -0.9243547525350871, 0.47370996281492156, -0.47370994643218023]
[ 7.97413186e+00 -1.14412039e+02 -2.75162717e-10];[0.7030123216758357, -0.9262575038399565, 0.7030123032141493, -0.47502473292943387]
[   7.97478519 -114.40491971   -7.97478521];[0.4737099464920265, -0.9243547614501543, 0.924354735000522, -0.473709944577201]
[   7.97662293 -114.38441023  -15.95310033];[0.23920452366642247, -0.9176618877283318, 1.1348783937653688, -0.46890540796489233]
[   7.97863116 -114.3648698   -23.93467958];[0.0010024497071495636, -0.9032754338535691, 1.3323529884029488, -0.4581289606078497]
[   7.98046359 -114.35123723  -31.91683992];[-0.24085768209087954, -0.8779020253704983, 1.5166929219755447, -0.43849533092555043]
[-3.47862833e-10 -1.14351158e+02 -3.19162439e+01];[-0.24022838835983673, -0.6623420779646866, 1.520123871810046, -0.6623420704184785]
[-1.86742544e-09 -1.14364727e+02 -2.39341953e+01];[0.0018608348709027722, -0.6848571428077176, 1.33522405848379, -0.6848571015939593]
[-1.03498512e-09 -1.14384168e+02 -1.59527557e+01];[0.2403487401845135, -0.6974455544502264, 1.1373339078878228, -0.69744552933487]
[-1.75315450e-09 -1.14404685e+02 -7.97459684e+00];[0.4751699823756844, -0.7031907553115428, 0.926464559020258, -0.7031907104042403]
[-4.26273748e-10 -1.14425345e+02 -1.95581812e-09];[0.7044702101703583, -0.7044702056222276, 0.7044701793013897, -0.7044701952562035]
[-1.43007725e-09 -1.14404685e+02  7.97459684e+00];[0.9264645666955298, -0.7031907513135862, 0.4751699797224867, -0.7031907151189566]
[-5.71175015e-11 -1.14384168e+02  1.59527557e+01];[1.1373339108698857, -0.6974455281971937, 0.2403487246227492, -0.6974455259591992]
[-1.27217617e-09 -1.14364727e+02  2.39341953e+01];[1.3352240733577767, -0.684857141866279, 0.0018608338387404305, -0.6848571133340782]
[-9.64949263e-10 -1.14351158e+02  3.19162439e+01];[1.5201238838595308, -0.6623420717709632, -0.2402283975210406, -0.6623420649578213]
