# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 39.9433321  -98.40576374  23.95897069];[1.787572266016661, -2.1994996727251164, 0.25998157484355144, 0.25837817373190963]
[ 39.93931292 -98.41543788  15.96735675];[1.5784495401047345, -2.208680054184826, 0.5319913902681841, 0.2622549786627336]
[ 39.93603301 -98.42352783   7.98145225];[1.3407977110697789, -2.2083349090172377, 0.8075367970399232, 0.26769472546861595]
[ 3.99340703e+01 -9.84309500e+01 -1.20439258e-09];[1.0803454944828803, -2.206815049873787, 1.080345473985613, 0.270209891986563]
[ 39.936033   -98.42352784  -7.98145225];[0.8075367849220001, -2.208334939766523, 1.3407977042344574, 0.26769472423154256]
[ 39.93931291 -98.41543795 -15.96735674];[0.5319913814793106, -2.20868005518727, 1.578449535982461, 0.2622549825108396]
[ 39.94333211 -98.4057637  -23.9589707 ];[0.259981591136601, -2.199499673532351, 1.78757226180662, 0.25837817136382435]
[ 39.94681354 -98.40082799 -31.954149  ];[-0.00717452509424564, -2.172348414538152, 1.96756071933582, 0.26055956672806885]
[ 39.95058845 -98.39542617 -39.95058854];[-0.2718406167767125, -2.122056937490428, 2.122056948493113, 0.27184062674308807]
[ 31.95414887 -98.4008285  -39.94681358];[-0.26055955373143574, -1.9675607099362555, 2.1723484121851215, 0.007174541459933792]
[ 31.9485485  -98.42271278 -31.94854858];[0.007026362682320257, -2.0139926606894996, 2.0139926748739865, -0.007026355433217224]
[ 31.94545601 -98.42799295 -23.95389429];[0.27798844110909837, -2.0379074544589333, 1.831534950838075, -0.011381680527149385]
[ 31.94202135 -98.43868652 -15.96318613];[0.5546037348500353, -2.0438846359834733, 1.6198598264936332, -0.008682570645143495]
[ 31.93930273 -98.44759937  -7.97900516];[0.8354525466320039, -2.0409732699063463, 1.3787882483570086, -0.0036594143562884984]
[ 3.19375979e+01 -9.84556935e+01  1.57718672e-10];[1.1136693335887085, -2.038418146356279, 1.1136693363980816, -0.0011939450161267129]
[ 31.93930273 -98.44759939   7.97900516];[1.3787882611114957, -2.0409732951310255, 0.8354525503104515, -0.0036594198385673238]
[ 31.94202135 -98.43868645  15.96318613];[1.6198598293724966, -2.04388464966754, 0.5546037259578034, -0.00868256995635916]
[ 31.94545601 -98.42799294  23.95389429];[1.8315349758772925, -2.0379074798898213, 0.27798844429452046, -0.011381686143120961]
[ 31.94854851 -98.42271274  31.94854858];[2.013992698227413, -2.013992680506497, 0.007026367289726429, -0.007026357975511877]
[ 31.95414887 -98.40082849  39.94681358];[2.1723484281164596, -1.9675606873222062, -0.2605595605514172, 0.007174541234947096]
[ 23.95906905 -98.40479413  39.94346996];[2.1995383695018362, -1.7876116572439154, -0.2583681642052443, -0.2599970623910253]
[ 23.95398576 -98.427147    31.94556515];[2.0379421931311885, -1.8315699527815552, 0.011392250817658212, -0.27800179452834084]
